Name,AllianceName,CharacterId,Favorite,Level,Power,Stars,RedStar,GearLevel,Basic,Special,Ultimate,Passive,ISO Class,ISO Level,ISO Armor,ISO Damage,ISO Focus,ISO Health,ISO Resist
mgmf,SIGMA Infamously Strange,Mighty Thor,false,85,156503,8,7,15,6,6,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Minn-Erva,false,85,181122,8,8,16,6,6,6,4,Fortifier,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Mister Fantastic,false,75,77244,8,7,12,6,7,6,5,Skirmisher,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Mister Negative,false,81,189845,8,7,15,7,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Mister Sinister,false,85,174121,8,7,15,6,7,7,5,Healer,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Misty Knight,false,85,154525,8,7,14,6,6,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Moon Knight,false,76,114574,8,7,14,6,6,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Moondragon,false,85,163433,8,6,15,6,7,6,5,Healer,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Moonstone,false,90,167764,6,6,15,6,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Morbius,true,71,78996,8,7,12,6,6,6,4,Striker,5,5,5,5,5,5
mgmf,SIGMA Infamously Strange,Mordo,false,72,99010,8,8,12,6,7,6,5,Skirmisher,4,4,4,4,4,4
mgmf,SIGMA Infamously Strange,Morgan Le Fay,false,95,375459,8,7,17,7,8,7,6,Striker,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Ms. Marvel,false,90,196422,8,6,16,7,6,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Multiple Man,false,77,128076,8,8,14,6,6,7,5,Healer,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Mysterio,false,65,72427,8,7,12,6,6,6,4,Skirmisher,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Mystique,false,75,115895,8,6,14,7,6,6,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Nakia,false,43,17804,6,6,8,4,4,4,2,Striker,2,2,2,2,2,2
mgmf,SIGMA Infamously Strange,Namor,false,75,121965,8,6,14,6,6,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Nebula,false,85,154962,8,6,15,6,6,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Negasonic,false,80,127570,8,7,14,6,7,7,5,Raider,4,4,4,4,4,4
mgmf,SIGMA Infamously Strange,Nemesis,true,90,288711,8,8,17,7,7,7,5,Striker,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Nick Fury,true,90,222440,8,7,16,6,7,7,5,Raider,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Nico Minoru,true,80,138389,8,7,15,6,6,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Night Nurse,false,80,148266,8,7,15,6,7,7,5,Healer,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Nobu,false,65,77308,8,7,12,6,6,6,4,Striker,5,5,5,5,5,5
